"political_interest","political_trust","read_newspapers","canvassed","education_level","age","ideology"
0,3,1,1,0,69,3
2,3,2,2,5,36,3
2,3,1,2,4,49,4
2,0,2,1,4,69,8
2,5,2,1,3,85,9
1,5,2,1,4,84,4
0,0,1,1,2,48,5
2,8,1,2,4,34,7
3,4,1,1,5,62,4
3,3,2,1,2,70,3
1,0,2,2,2,43,5
2,5,2,1,2,72,10
2,3,2,1,2,30,4
1,5,1,1,0,55,5
2,6,2,1,2,76,5
3,3,1,1,1,69,7
0,3,2,1,3,70,5
1,5,1,2,1,54,4
2,4,1,NA,3,30,NA
2,5,1,1,2,20,8
0,0,1,NA,0,90,8
1,1,1,1,3,26,5
2,7,1,1,3,56,4
1,3,1,1,2,45,NA
2,5,1,1,2,45,3
0,0,1,1,4,35,NA
2,2,1,1,5,24,4
3,4,2,1,3,61,1
1,3,2,2,4,57,5
0,2,1,1,4,35,NA
3,6,2,1,4,56,6
0,2,1,2,3,31,NA
3,5,1,1,2,46,3
0,0,1,1,2,44,5
3,2,2,1,4,57,6
0,0,1,1,3,36,4
2,0,2,1,3,56,NA
2,3,1,1,NA,73,5
1,3,1,1,NA,61,6
1,6,2,2,0,86,NA
2,3,1,1,4,46,5
3,7,2,1,4,89,6
0,1,1,1,0,34,3
1,1,1,1,4,27,5
3,8,2,1,4,38,4
2,1,2,1,NA,69,3
1,6,2,1,0,90,5
2,8,2,NA,4,62,7
3,6,2,1,4,88,8
0,4,1,1,3,38,NA
0,4,1,1,4,30,NA
1,0,1,1,0,71,NA
1,NA,1,1,2,23,NA
1,1,1,1,0,49,5
0,NA,1,1,0,NA,NA
1,5,2,1,1,68,3
0,1,1,1,3,22,NA
1,10,1,1,2,59,8
0,4,1,1,4,52,NA
0,0,2,1,3,36,NA
1,1,1,NA,3,44,2
0,9,1,1,0,91,NA
2,4,1,1,3,38,5
2,6,2,2,2,22,4
2,0,2,1,0,69,NA
2,0,2,1,2,64,10
2,5,2,1,4,52,1
2,3,1,1,0,90,NA
0,5,1,2,3,23,NA
1,2,1,1,4,42,1
0,2,1,1,2,58,NA
2,3,2,1,0,68,1
1,0,2,1,0,52,NA
2,0,2,1,3,58,6
2,6,2,1,3,24,NA
2,2,1,1,0,82,NA
1,0,1,NA,0,75,5
1,2,2,1,1,54,5
1,7,2,1,0,72,5
2,1,2,1,2,65,5
2,7,1,1,0,81,8
2,1,1,1,3,44,NA
1,3,1,1,3,36,2
0,0,1,1,0,69,NA
3,4,2,1,2,82,7
0,0,1,1,0,32,1
2,6,2,1,0,31,4
3,2,2,2,4,31,1
2,4,1,2,1,52,1
0,4,1,NA,4,29,5
0,3,1,1,3,24,5
2,3,2,2,4,42,4
1,5,1,2,4,79,5
2,6,2,2,2,52,5
3,5,2,1,4,82,8
1,6,1,1,0,80,7
2,3,1,1,0,70,8
3,7,2,2,3,78,8
3,6,2,1,4,76,5
3,6,1,1,5,32,8
3,6,2,1,4,33,4
2,4,1,1,3,47,9
2,8,1,1,5,56,3
1,7,1,1,5,36,5
0,5,1,NA,3,30,5
0,NA,1,1,3,50,5
2,2,2,1,4,40,5
0,5,1,1,0,66,5
1,2,2,1,2,55,5
2,7,1,1,4,74,5
2,6,2,1,4,55,3
2,6,2,1,0,84,7
3,5,2,1,NA,66,1
2,2,2,1,3,33,2
2,0,2,2,4,34,0
2,4,2,2,2,21,5
2,5,2,NA,4,22,5
1,8,NA,1,2,22,5
2,3,1,2,4,55,5
0,1,1,1,4,35,5
2,5,2,1,5,24,3
2,5,2,1,3,41,5
2,5,2,1,5,61,2
3,2,2,2,5,39,5
2,7,2,1,NA,95,8
1,3,2,1,5,32,4
2,3,1,1,0,37,4
1,3,1,1,0,69,3
0,3,1,1,0,50,4
2,3,1,1,0,59,3
0,7,1,1,0,45,3
0,4,1,1,0,43,6
2,2,1,NA,0,74,5
1,2,1,1,0,67,2
2,3,1,2,0,39,3
3,3,1,1,0,33,3
0,2,1,1,0,67,4
2,5,1,1,0,43,4
2,3,1,1,0,52,4
3,3,2,1,0,54,5
2,6,1,1,0,65,2
0,2,1,1,0,61,4
2,2,1,1,0,71,6
2,2,1,1,0,47,5
1,3,1,1,0,31,2
1,4,1,2,0,60,4
1,3,1,1,0,60,5
0,3,1,1,0,32,5
1,4,2,1,0,42,6
1,4,1,1,4,27,5
2,3,1,2,4,41,5
2,5,2,2,3,22,4
1,0,1,2,3,32,5
2,3,2,2,5,31,3
1,3,1,1,4,57,3
2,5,2,1,3,67,10
0,0,1,1,2,69,2
0,3,1,1,3,62,5
3,1,2,1,0,53,5
3,7,2,1,4,80,8
2,5,1,1,4,47,4
2,4,2,1,5,42,2
3,3,2,2,4,34,4
0,5,1,1,0,30,5
2,2,1,1,4,48,7
0,3,1,1,0,25,4
1,2,1,2,0,78,4
1,2,1,1,0,39,2
2,5,1,1,0,72,7
1,3,1,1,0,26,2
1,2,1,1,0,67,0
2,6,2,2,0,70,4
0,5,1,2,2,26,5
1,3,1,1,0,37,3
3,4,1,1,4,34,5
2,1,2,1,5,35,5
1,3,1,2,4,46,5
2,8,1,1,0,57,4
2,5,2,2,0,79,3
2,8,1,1,0,76,3
2,2,2,2,4,33,3
2,6,2,2,0,65,5
1,3,2,2,4,34,4
2,3,1,1,4,40,5
2,7,2,2,5,75,7
1,3,1,1,3,28,NA
1,3,1,1,3,33,NA
2,5,2,2,4,44,5
1,5,1,1,2,43,5
2,6,2,2,4,68,6
2,4,2,2,5,42,3
2,7,2,1,0,75,8
2,5,2,2,5,56,5
2,3,2,2,5,49,3
2,0,2,1,4,55,5
3,3,2,1,4,32,5
0,0,1,1,0,25,1
1,2,1,1,0,42,NA
